aAcc,mIoU,mAcc,mDice,mFscore,mPrecision,mRecall,data_time,time,step
79.98,65.91,85.02,79.34,79.34,80.29,85.02,0.539309024810791,1.6351412137349446,500
93.53,85.87,91.24,92.31,92.31,93.64,91.24,0.007120064326695034,0.3886105333055769,1000
92.75,85.19,93.8,91.94,91.94,90.73,93.8,0.007400342396327427,0.38946332250322613,1500
92.3,84.16,92.42,91.32,91.32,90.46,92.42,0.007256746292114258,0.3699947084699358,2000
91.69,83.27,92.74,90.79,90.79,89.58,92.74,0.017606564930507114,0.3863725321633475,2500
92.3,84.4,93.49,91.47,91.47,90.23,93.49,0.007269246237618583,0.36817806107657297,3000
87.35,75.68,87.78,85.99,85.99,84.93,87.78,0.006981338773454938,0.36730711800711496,3500
93.13,85.08,90.77,91.84,91.84,93.18,90.77,0.007116283689226423,0.36852008955819265,4000
90.39,80.18,88.67,88.84,88.84,89.03,88.67,0.007455621446881976,0.3681399481637137,4500
92.83,84.74,91.36,91.65,91.65,91.95,91.36,0.008259705134800501,0.3678042207445417,5000
93.04,85.56,93.28,92.15,92.15,91.28,93.28,0.007410083498273577,0.36787346431187223,5500
88.61,77.16,87.13,86.91,86.91,86.7,87.13,0.00669656481061663,0.370722804750715,6000
89.66,78.78,87.65,87.95,87.95,88.27,87.65,0.007693324770246234,0.39388210432870047,6500
91.16,81.21,88.41,89.47,89.47,90.84,88.41,0.0071201324462890625,0.3861487592969622,7000
90.0,79.66,88.84,88.53,88.53,88.24,88.84,0.00911705834524972,0.3965353625161307,7500
89.46,78.53,87.71,87.79,87.79,87.87,87.71,0.008267402648925781,0.373617206301008,8000
93.22,85.42,91.48,92.05,92.05,92.69,91.48,0.007547310420445034,0.4015542098454067,8500
92.35,83.5,89.7,90.88,90.88,92.4,89.7,0.007970503398350306,0.39582623754228863,9000
93.77,86.37,91.53,92.6,92.6,93.93,91.53,0.007188694817679269,0.39333016531808035,9500
88.48,76.9,86.89,86.74,86.74,86.59,86.89,0.014529091971261161,0.39772708075387136,10000
91.07,81.51,89.74,89.69,89.69,89.64,89.74,0.008117335183279855,0.39076593944004606,10500
89.48,79.16,89.64,88.23,88.23,87.26,89.64,0.007302863257271903,0.3906623635973249,11000
90.41,80.44,89.45,89.03,89.03,88.64,89.45,0.007063627243041992,0.39054594721112934,11500
92.81,84.38,90.24,91.42,91.42,92.95,90.24,0.006696258272443499,0.3913818768092564,12000
93.43,85.5,90.5,92.08,92.08,94.28,90.5,0.007689135415213448,0.38824738774980816,12500
89.63,79.02,88.49,88.12,88.12,87.79,88.49,0.00726628303527832,0.39009952545166016,13000
92.21,83.47,90.39,90.88,90.88,91.42,90.39,0.007404531751360212,0.3920979159218924,13500
90.83,81.32,90.26,89.58,89.58,89.0,90.26,0.007523502622331891,0.39221644401550293,14000
93.35,85.23,90.06,91.92,91.92,94.66,90.06,0.007978779929024833,0.39118967737470356,14500
91.32,81.95,89.91,89.95,89.95,89.99,89.91,0.007551772253853934,0.3896233013698033,15000
91.4,82.13,90.13,90.07,90.07,90.01,90.13,0.0081132139478411,0.39117046764918734,15500
94.12,87.11,92.09,93.04,93.04,94.2,92.09,0.006838968821934291,0.39066951615469797,16000
92.39,83.93,91.02,91.16,91.16,91.32,91.02,0.00698164531162807,0.39152428082057406,16500
93.13,85.18,91.17,91.9,91.9,92.77,91.17,0.007978950228009905,0.3945270265851702,17000
93.12,85.51,92.48,92.11,92.11,91.77,92.48,0.007908003670828683,0.39131137302943636,17500
93.77,86.66,92.7,92.79,92.79,92.87,92.7,0.007338523864746094,0.3908880778721401,18000
91.86,82.6,89.36,90.34,90.34,91.56,89.36,0.007547106061662946,0.3925214835575649,18500
89.18,78.51,88.89,87.81,87.81,87.0,88.89,0.00712381090436663,0.3930915764399937,19000
91.62,82.54,90.37,90.32,90.32,90.27,90.37,0.006981440952845982,0.3921114036015102,19500
